 -1.00000000E+00  6.12942932E-07 -7.45230173E+02  2.92547449E-01
 -9.98665777E-01  6.53958975E-07 -7.38557313E+02  3.06298921E-01
 -9.97331554E-01  6.96167691E-07 -7.32319636E+02  3.20300675E-01
 -9.95997332E-01  7.39589275E-07 -7.26464117E+02  3.34554807E-01
 -9.94663109E-01  7.84244146E-07 -7.20946267E+02  3.49063415E-01
 -9.93328886E-01  8.30152949E-07 -7.15728468E+02  3.63828606E-01
 -9.91994663E-01  8.77336554E-07 -7.10778693E+02  3.78852486E-01
 -9.90660440E-01  9.25816062E-07 -7.06069497E+02  3.94137170E-01
 -9.89326217E-01  9.75612803E-07 -7.01577215E+02  4.09684777E-01
 -9.87991995E-01  1.02674834E-06 -6.97281334E+02  4.25497427E-01
 -9.86657772E-01  1.07924447E-06 -6.93163976E+02  4.41577249E-01
 -9.85323549E-01  1.13312322E-06 -6.89209486E+02  4.57926374E-01
 -9.83989326E-01  1.18840687E-06 -6.85404092E+02  4.74546937E-01
 -9.82655103E-01  1.24511791E-06 -6.81735626E+02  4.91441079E-01
 -9.81320881E-01  1.30327911E-06 -6.78193296E+02  5.08610945E-01
 -9.79986658E-01  1.36291346E-06 -6.74767493E+02  5.26058681E-01
 -9.78652435E-01  1.42404419E-06 -6.71449630E+02  5.43786442E-01
 -9.77318212E-01  1.48669478E-06 -6.68232009E+02  5.61796383E-01
 -9.75983989E-01  1.55088897E-06 -6.65107705E+02  5.80090665E-01
 -9.74649767E-01  1.61665075E-06 -6.62070471E+02  5.98671453E-01
 -9.73315544E-01  1.68400434E-06 -6.59114655E+02  6.17540915E-01
 -9.71981321E-01  1.75297423E-06 -6.56235127E+02  6.36701223E-01
 -9.70647098E-01  1.82358518E-06 -6.53427224E+02  6.56154553E-01
 -9.69312875E-01  1.89586217E-06 -6.50686690E+02  6.75903085E-01
 -9.67978652E-01  1.96983048E-06 -6.48009636E+02  6.95949002E-01
 -9.66644430E-01  2.04551563E-06 -6.45392501E+02  7.16294490E-01
 -9.65310207E-01  2.12294341E-06 -6.42832011E+02  7.36941740E-01
 -9.63975984E-01  2.20213986E-06 -6.40325157E+02  7.57892945E-01
 -9.62641761E-01  2.28313131E-06 -6.37869165E+02  7.79150302E-01
 -9.61307538E-01  2.36594434E-06 -6.35461469E+02  8.00716013E-01
 -9.59973316E-01  2.45060582E-06 -6.33099700E+02  8.22592279E-01
 -9.58639093E-01  2.53714289E-06 -6.30781656E+02  8.44781308E-01
 -9.57304870E-01  2.62558294E-06 -6.28505296E+02  8.67285310E-01
 -9.55970647E-01  2.71595367E-06 -6.26268720E+02  8.90106498E-01
 -9.54636424E-01  2.80828304E-06 -6.24070159E+02  9.13247086E-01
 -9.53302201E-01  2.90259930E-06 -6.21907961E+02  9.36709294E-01
 -9.51967979E-01  2.99893098E-06 -6.19780584E+02  9.60495343E-01
 -9.50633756E-01  3.09730690E-06 -6.17686584E+02  9.84607458E-01
 -9.49299533E-01  3.19775616E-06 -6.15624607E+02  1.00904786E+00
 -9.47965310E-01  3.30030814E-06 -6.13593386E+02  1.03381879E+00
 -9.46631087E-01  3.40499254E-06 -6.11591727E+02  1.05892248E+00
 -9.45296865E-01  3.51183933E-06 -6.09618510E+02  1.08436115E+00
 -9.43962642E-01  3.62087879E-06 -6.07672677E+02  1.11013704E+00
 -9.42628419E-01  3.73214149E-06 -6.05753234E+02  1.13625240E+00
 -9.41294196E-01  3.84565830E-06 -6.03859240E+02  1.16270946E+00
 -9.39959973E-01  3.96146038E-06 -6.01989809E+02  1.18951048E+00
 -9.38625751E-01  4.07957923E-06 -6.00144099E+02  1.21665769E+00
 -9.37291528E-01  4.20004662E-06 -5.98321316E+02  1.24415334E+00
 -9.35957305E-01  4.32289465E-06 -5.96520706E+02  1.27199968E+00
 -9.34623082E-01  4.44815572E-06 -5.94741554E+02  1.30019897E+00
 -9.33288859E-01  4.57586254E-06 -5.92983182E+02  1.32875346E+00
 -9.31954636E-01  4.70604815E-06 -5.91244945E+02  1.35766539E+00
